,pct,alg,data,nClusters,nComponents,redenCl,gamma,avgNMI,stdNMI,avgPMI,stdPMI,avgF1,stdF1,avgCA,stdCA,avgARI
641,19.1,KSVD,ACM,3,18,doc,0.03840749154252516,0.0012558426004142492,0.0,0.03782555106739438,0.005751317516715893,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
642,19.1,KSVD,ACM,3,1000,doc,0.3840749154252516,0.0012558426004142492,0.0,0.06376746687094376,0.0217665085644994,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
643,19.2,KSVD,ACM,3,3,doc,0.3840749154252516,0.0012558426004142492,0.0,0.05431242190319059,0.004580069136279438,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
644,19.2,KSVD,ACM,3,18,doc,0.3840749154252516,0.0012558426004142492,0.0,0.038240519465357725,0.009289087505929479,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
645,19.2,KSVD,ACM,3,1000,doc,3.840749154252516,0.0012558426004142492,0.0,0.061558563988681356,0.02399242935896795,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
646,19.3,KSVD,ACM,3,3,doc,3.840749154252516,0.0012558426004142492,0.0,0.056989413149100734,0.003990131498433446,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
647,19.3,KSVD,ACM,3,18,doc,3.840749154252516,0.0012558426004142492,0.0,0.040716293298993525,0.008838770113250457,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
648,19.3,KSVD,ACM,3,1000,doc,38.40749154252516,0.0012558426004142492,0.0,0.06305329714106944,0.028814719479241094,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
649,19.3,KSVD,ACM,3,3,doc,38.40749154252516,0.0012558426004142492,0.0,0.056544924197044724,0.003829348427284578,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
650,19.4,KSVD,ACM,3,18,doc,38.40749154252516,0.0012558426004142492,0.0,0.04513798586050269,0.006735563673595121,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
651,19.4,KSVD,ACM,18,1000,term,3.840749154252516e-05,0.010909231046303635,0.0002107430823824207,0.44150606163663764,0.07389196699035455,0.5881942668327445,0.008126771543176961,0.33341230486685025,0.00032363175339360494,0.00029125948450120883
652,19.4,KSVD,ACM,18,3,term,3.840749154252516e-05,0.02571350405428305,0.0007724612551853508,0.4536512543324358,0.0035331469084677056,0.5190682613839916,0.004705559852502201,0.32131761336306797,0.000522978354792077,0.010670797566325762
653,19.5,KSVD,ACM,18,18,term,3.840749154252516e-05,0.01377432276346364,0.0037877021704134125,0.4270271147336622,0.013584129148673426,0.5899192882527478,0.002960880654292461,0.3335620271983908,0.00046871359249201936,0.0005762704085403746
654,19.5,KSVD,ACM,18,1000,term,0.0003840749154252516,0.01269920995454651,0.0023395506550380244,0.42942101248671866,0.0611410408846876,0.5916665970052792,0.00084663829774953,0.3336056889238707,0.00011307642080593343,-0.00016994951493309055
655,19.5,KSVD,ACM,18,3,term,0.0003840749154252516,0.01244840139108835,0.0005283048613467413,0.4336943117828945,0.01250737529437547,0.5909392880498261,0.00017305641668655241,0.3336057982421619,2.587722700198512e-05,0.000407679601872782
656,19.6,KSVD,ACM,18,18,term,0.0003840749154252516,0.011037187453371396,0.0,0.44690829326588943,0.015734405612321905,0.5917884411164884,0.0,0.33361690498054136,0.0,0.00033649659956873064
657,19.6,KSVD,ACM,18,1000,term,0.003840749154252516,0.012096331428810867,0.0010956061052387882,0.5697277987264904,0.08804660862323067,0.5915266384833371,0.001042613097626709,0.3335967029603394,0.0001458775753488027,-0.00028137038442928124
658,19.6,KSVD,ACM,18,3,term,0.003840749154252516,0.016345832422883965,0.0009880553869977952,0.5697622294971012,0.01600846106607248,0.5925528347684669,9.527850217055613e-05,0.33355726092089727,3.743632567817348e-05,-0.0007114901697810686
659,19.6,KSVD,ACM,18,18,term,0.003840749154252516,0.01035048470704753,1.734723475976807e-18,0.5867106253187224,0.012938261321323053,0.5931399182708389,0.0,0.333604661331934,5.421010862427522e-20,-0.00046065823162921014
660,19.7,KSVD,ACM,18,1000,term,0.03840749154252516,0.010304612510154632,0.0,0.36026367290488864,0.08681615871082464,0.5932268595316028,0.0,0.3336011631466177,0.0,-0.0005134499423045706
661,19.7,KSVD,ACM,18,3,term,0.03840749154252516,0.001879241727161141,0.0,0.06079995199094934,0.0,0.5940654469757468,0.0,0.33363024181205997,1.3552527156068805e-20,-9.938276754027876e-05
662,19.7,KSVD,ACM,18,18,term,0.03840749154252516,0.010304612510154632,0.0,0.13106088666167667,0.008389605547156674,0.5932268595316028,0.0,0.3336011631466177,0.0,-0.0005134499423045706
663,19.8,KSVD,ACM,18,1000,term,0.3840749154252516,0.010304612510154632,0.0,0.3899683185304863,0.07453665486569508,0.5932268595316028,0.0,0.3336011631466177,0.0,-0.0005134499423045706
664,19.8,KSVD,ACM,18,3,term,0.3840749154252516,0.001879241727161141,0.0,0.06079995199094934,0.0,0.5940654469757468,0.0,0.33363024181205997,1.3552527156068805e-20,-9.938276754027876e-05
665,19.8,KSVD,ACM,18,18,term,0.3840749154252516,0.010304612510154632,0.0,0.13375767183055856,0.002766050732538134,0.5932268595316028,0.0,0.3336011631466177,0.0,-0.0005134499423045706
666,19.9,KSVD,ACM,18,1000,term,3.840749154252516,0.010304612510154632,0.0,0.33364055612567717,0.046966000379767406,0.5932268595316028,0.0,0.3336011631466177,0.0,-0.0005134499423045706
667,19.9,KSVD,ACM,18,3,term,3.840749154252516,0.001879241727161141,0.0,0.06079995199094934,0.0,0.5940654469757468,0.0,0.33363024181205997,1.3552527156068805e-20,-9.938276754027876e-05
668,19.9,KSVD,ACM,18,18,term,3.840749154252516,0.010304612510154632,0.0,0.13086983317147755,0.006805787936014286,0.5932268595316028,0.0,0.3336011631466177,0.0,-0.0005134499423045706
669,19.9,KSVD,ACM,18,1000,term,38.40749154252516,0.010304612510154632,0.0,0.38893431226595593,0.10508392222033502,0.5932268595316028,0.0,0.3336011631466177,0.0,-0.0005134499423045706
670,20.0,KSVD,ACM,18,3,term,38.40749154252516,0.001879241727161141,0.0,0.06079995199094934,0.0,0.5940654469757468,0.0,0.33363024181205997,1.3552527156068805e-20,-9.938276754027876e-05
671,20.0,KSVD,ACM,18,18,term,38.40749154252516,0.010304612510154632,0.0,0.13243910508768159,0.0032650840798460136,0.5932268595316028,0.0,0.3336011631466177,0.0,-0.0005134499423045706
672,20.0,KSVD,ACM,8,1000,sweep,3.840749154252516e-05,0.005484152847652987,0.0021928356445232314,0.20415415149532215,0.040653172013691764,0.5751684339439926,0.03137298483517379,0.33127904586995494,0.0021007294649846215,0.0011571946553518304
673,20.1,KSVD,ACM,8,3,sweep,3.840749154252516e-05,0.024247976642256534,0.00038817463038421084,0.20863956197753444,0.0039814741587033825,0.560649789928446,0.0048841754221991465,0.3309548296821024,0.0005768952890236219,0.005148356601450806
674,20.1,KSVD,ACM,8,18,sweep,3.840749154252516e-05,0.005654306856610447,0.0028466588142736855,0.20868077292906287,0.007415929987972994,0.5922764660985047,0.0029383733147150377,0.3335998950544405,0.00040909650383091824,0.0003177908115658453
675,20.1,KSVD,ACM,8,1000,sweep,0.0003840749154252516,0.00566704877199989,0.0018502901298879963,0.21368978097626265,0.02899912335370247,0.593109821696072,0.0007083002471611119,0.33362414185141454,0.00012229359611775367,-9.066962801554935e-05
676,20.1,KSVD,ACM,8,3,sweep,0.0003840749154252516,0.005332647286045524,0.0,0.2007831322372914,0.0056540937411958744,0.5930979735220212,0.0,0.3336280554462373,0.0,0.0001720662304506484
677,20.2,KSVD,ACM,8,18,sweep,0.0003840749154252516,0.004681410594150445,1.7373445941046576e-05,0.19577202816858066,0.01995814096260568,0.5932445871453059,8.082565271810212e-06,0.33362858017403474,1.8916772144098646e-05,0.00015541462328007101
678,20.2,KSVD,ACM,8,1000,sweep,0.003840749154252516,0.005542362364884797,0.001094832235131405,0.24150318737432866,0.07682136823037976,0.5928812034911064,0.0009326875392670493,0.33362328916874373,0.00014492720433666485,-7.500627369777544e-05
679,20.2,KSVD,ACM,8,3,sweep,0.003840749154252516,0.01257692236086622,0.0018025444927731724,0.2970719046475233,0.007123525941495094,0.5929283930964181,0.00017493348864422136,0.33358957540775724,7.262064718087654e-05,-0.0005400510690193194
680,20.3,KSVD,ACM,8,18,sweep,0.003840749154252516,0.004385447577379227,2.108999621404685e-05,0.2876482855724968,0.018867178740089443,0.5937542666777283,3.2589847381814256e-05,0.33362735580917396,2.3677959348861416e-05,-0.00017870769197608451
681,20.3,KSVD,ACM,8,1000,sweep,0.03840749154252516,0.004343267584951133,0.0,0.18150517990990975,0.04943362817326597,0.593819446372492,1.1102230246251565e-16,0.3336263063535791,2.710505431213761e-20,-0.00022606361067380735
682,20.3,KSVD,ACM,8,3,sweep,0.03840749154252516,0.001879241727161141,0.0,0.06079995199094934,0.0,0.5940654469757468,0.0,0.33363024181205997,1.3552527156068805e-20,-9.938276754027876e-05
683,20.4,KSVD,ACM,8,18,sweep,0.03840749154252516,0.004343267584951133,0.0,0.06842163621813456,0.01838850999628163,0.593819446372492,1.1102230246251565e-16,0.3336263063535791,2.710505431213761e-20,-0.00022606361067380735
684,20.4,KSVD,ACM,8,1000,sweep,0.3840749154252516,0.004343267584951133,0.0,0.16686675446796556,0.053740474912894694,0.593819446372492,1.1102230246251565e-16,0.3336263063535791,2.710505431213761e-20,-0.00022606361067380735
685,20.4,KSVD,ACM,8,3,sweep,0.3840749154252516,0.001879241727161141,0.0,0.06079995199094934,0.0,0.5940654469757468,0.0,0.33363024181205997,1.3552527156068805e-20,-9.938276754027876e-05
